,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Unnamed: 0.1
31,31,6YFzL1910P0fRFh865HmI3,GOING CRAZY,TREASURE,YG,2021-01-11,0.75,0.888,8,-4.885,0,0.0595,0.197,0.0,0.085,0.808,124.997,224969,
0,0,7HWmJ1wBecOAMNGjC6SmKE,WHISTLE,BLACKPINK,YG,2016-08-08,0.822,0.712,11,-4.877,1,0.15,0.00682,0.0,0.0955,0.647,102.874,211696,
1,1,3yHQKddM8SVCRnuPSo3HPN,BOOMBAYAH,BLACKPINK,YG,2016-08-08,0.658,0.836,5,-3.282,0,0.0549,0.00264,1.02e-06,0.507,0.387,124.969,240849,
2,2,7e7VjLxO5xJINHvnRytrqi,PLAYING WITH FIRE,BLACKPINK,YG,2016-11-01,0.707,0.758,4,-4.511,0,0.0917,0.0399,0.0,0.141,0.674,97.037,197355,
3,3,4TWHREp4wv0TmewqR6rgRd,STAY,BLACKPINK,YG,2016-11-01,0.628,0.433,1,-6.808,1,0.0383,0.569,7.71e-06,0.104,0.343,88.074,230400,
4,4,1Zyd6zQnC6XIIzmg3hP7Ot,As If It's Your Last,BLACKPINK,YG,2017-06-22,0.786,0.853,8,-2.687,1,0.0816,0.0688,0.0,0.0759,0.45,125.034,213264,
5,5,2aI2k39nfa3KFsa4JclQzw,DDU-DU DDU-DU,BLACKPINK,YG,2018-06-15,0.671,0.859,4,-3.922,0,0.0833,0.0313,0.0,0.267,0.39,139.931,209355,
6,6,56bHclo7YNvpujMveLElQn,Forever Young,BLACKPINK,YG,2018-06-15,0.592,0.961,4,-1.807,1,0.096,0.0423,0.0,0.0882,0.508,109.826,237077,
7,7,5qA5DAR5xTjQUGrl0eBbmR,Really,BLACKPINK,YG,2018-06-15,0.696,0.881,1,-2.082,1,0.104,0.0235,0.0,0.277,0.947,142.019,197789,
8,8,1ZPMLCzCwIvLbMFWvYiw4H,See U Later,BLACKPINK,YG,2018-06-15,0.74,0.926,9,-3.965,0,0.112,0.0376,0.0,0.582,0.571,106.987,198867,
9,9,2wVDWtLKXunswWecARNILj,SOLO,JENNIE,YG,2018-11-12,0.751,0.642,3,-5.165,0,0.087,0.0861,0.0,0.0953,0.388,95.045,169567,
10,10,18PergoIrGmRyeYxnaXJN2,Kill This Love,BLACKPINK,YG,2019-04-05,0.738,0.861,2,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98,189052,
11,11,0zYqFyhiTj419q56lNsjk0,Don't Know What To Do,BLACKPINK,YG,2019-04-05,0.628,0.64,6,-4.164,0,0.0491,0.0992,0.0,0.138,0.409,129.815,201081,
12,12,6Ks1e4WEUeOGgnTGZ4IMXo,Kick It,BLACKPINK,YG,2019-04-05,0.765,0.787,1,-3.647,0,0.0445,0.0156,0.0,0.0736,0.381,124.949,191226,
13,13,7mW8ar9hy7GSeH4lohyOKs,Hope Not,BLACKPINK,YG,2019-04-05,0.556,0.423,4,-4.998,0,0.0274,0.441,0.0,0.0867,0.179,110.086,191030,
14,14,4SFknyjLcyTLJFPKD2m96o,How You Like That,BLACKPINK,YG,2020-10-02,0.812,0.761,11,-5.222,1,0.0812,0.0465,0.000135,0.0601,0.344,130.032,182956,
15,15,4JUPEh2DVSXFGExu4Uxevz,Ice Cream (with Selena Gomez),BLACKPINK,YG,2020-10-02,0.79,0.701,9,-4.81,1,0.365,0.0317,8.06e-05,0.0311,0.91,159.972,177813,
16,16,1XnpzbOGptRwfJhZgLbmSr,Pretty Savage,BLACKPINK,YG,2020-10-02,0.701,0.556,9,-7.42,0,0.0414,0.00886,0.000122,0.106,0.333,152.045,201122,
17,17,7iAgNZdotu40NwtoIWJHFe,Bet You Wanna (feat. Cardi B),BLACKPINK,YG,2020-10-02,0.653,0.662,7,-6.168,1,0.162,0.00465,0.0,0.0626,0.674,111.712,161168,
18,18,4Ws314Ylb27BVsvlZOy30C,Lovesick Girls,BLACKPINK,YG,2020-10-02,0.654,0.707,6,-5.661,1,0.0664,0.00559,0.0,0.0873,0.448,127.97,194765,
19,19,7qq0EOPW4RRlqdvMBmdd73,Crazy Over You,BLACKPINK,YG,2020-10-02,0.804,0.633,4,-6.186,1,0.0612,0.0371,0.000119,0.102,0.67,115.002,163946,
20,20,7iKDsPfLT0d5mu2htfMKBZ,Love To Hate Me,BLACKPINK,YG,2020-10-02,0.686,0.64,8,-5.491,1,0.159,0.0334,0.0,0.0801,0.597,162.225,171798,
21,21,39kzWAiVPpycdMpr745oPj,You Never Know,BLACKPINK,YG,2020-10-02,0.477,0.435,5,-6.497,1,0.0523,0.237,0.0,0.12,0.322,144.144,231202,
22,22,2pn8dNVSpYnAtlKFC8Q0DJ,On The Ground,ROSÉ,YG,2021-03-12,0.311,0.607,1,-6.578,1,0.11,0.0174,0.0,0.131,0.286,188.7,168086,
23,23,2dHoVW9AxJVSRebPRyV2aA,Gone,ROSÉ,YG,2021-03-12,0.647,0.377,6,-6.003,1,0.0375,0.594,0.0,0.0768,0.653,79.936,207164,
24,24,7uQZVznj0uQOGC9KhV2Mg6,LALISA,LISA,YG,2021-09-10,0.806,0.653,8,-6.283,1,0.0902,0.0282,0.000784,0.107,0.85,150.058,200690,
25,25,7hU3IHwjX150XLoTVmjD0q,MONEY,LISA,YG,2021-09-10,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228,
26,26,0skYUMpS0AcbpjcGsAbRGj,Pink Venom,BLACKPINK,YG,2022-08-19,0.798,0.697,0,-7.139,1,0.0891,0.0202,0.0,0.259,0.745,90.031,186964,
27,27,0ARKW62l9uWIDYMZTUmJHF,Shut Down,BLACKPINK,YG,2022-09-16,0.82,0.686,0,-5.102,1,0.038,0.00412,0.0,0.184,0.668,110.058,175889,
28,28,0L8LOav65XwLjCLS11gNPD,Typa Girl,BLACKPINK,YG,2022-09-16,0.915,0.621,7,-6.519,1,0.1,0.0745,0.0,0.628,0.527,131.984,179173,
29,29,5TfKoQg9AjmDIWYKFoDqMN,Yeah Yeah Yeah,BLACKPINK,YG,2022-09-16,0.718,0.582,1,-6.618,0,0.0348,0.00486,1.5e-06,0.0628,0.669,124.039,178924,
30,30,3MJhPqL2IgGs7gHEB2M35q,Hard to Love,BLACKPINK,YG,2022-09-16,0.654,0.768,5,-5.007,1,0.0431,0.00616,0.0,0.202,0.505,104.97,162570,
31,31,1XoY4WZrvPIphBaikXGjF8,The Happiest Girl,BLACKPINK,YG,2022-09-16,0.641,0.374,0,-8.458,1,0.0328,0.638,0.0,0.118,0.574,91.058,222026,
32,32,0bYVPJvXr8ACmw313cVvhB,Tally,BLACKPINK,YG,2022-09-16,0.688,0.637,2,-4.85,1,0.031,0.00777,0.0,0.13,0.427,129.902,184248,
33,33,7Dq4YNgsltQuTmhYz1wJzq,Ready For Love,BLACKPINK,YG,2022-09-16,0.699,0.706,6,-5.449,1,0.0996,0.0128,0.0,0.106,0.546,107.864,184678,
34,34,69CrOS7vEHIrhC2ILyEi0s,FLOWER,JISOO,YG,2023-03-31,0.841,0.384,9,-7.684,0,0.0351,0.0236,2.28e-06,0.0735,0.597,123.961,173134,
35,35,2YXswOX5aKv6OHRKUcAMLQ,All Eyes On Me,JISOO,YG,2023-03-31,0.779,0.646,8,-5.884,0,0.0388,0.026,2.66e-05,0.0943,0.628,110.048,163523,
36,36,1mFpMoeZfkIqtqW2AfQ8ba,THE GIRLS - BLACKPINK THE GAME OST,BLACKPINK,YG,2023-08-25,0.715,0.738,2,-4.42,1,0.0577,0.00199,0.0,0.208,0.36,160.07,162000,
37,37,6gcuJpHu0Ey30D5WR76y98,You & Me,JENNIE,YG,2023-10-06,0.787,0.573,9,-6.197,1,0.0606,0.0147,1.72e-05,0.0926,0.575,111.996,179164,
0,0,7IqYkjcFnqKPmwg6lWxXYv,BUT YOU,iKON,YG,2022-05-03,0.634,0.91,0,-1.711,1,0.0323,0.0223,0.0,0.127,0.693,138.006,212687,
1,1,5R42s7zQ9SrbnwXUF8j1Bo,DRAGON,iKON,YG,2022-05-03,0.763,0.814,11,-3.972,0,0.0471,0.0085,0.0,0.223,0.465,119.981,188115,
2,2,1GFUkeJaJejAQlrfV8XhG2,FOR REAL?,iKON,YG,2022-05-03,0.792,0.71,6,-4.335,1,0.0304,0.0225,0.0,0.0653,0.908,110.967,203353,
3,3,4NCRY9JMDIc0qqLZbQA4ln,GOLD,iKON,YG,2022-05-03,0.804,0.76,5,-4.228,0,0.041,0.391,0.0,0.17,0.821,132.036,165642,
4,4,3EYErXyQpVtbC7DoZE7lDr,NAME,iKON,YG,2022-05-03,0.567,0.514,5,-5.925,1,0.0276,0.406,0.0,0.19,0.244,143.867,237677,
5,5,0br4r9VlPdofrWXxPorlYd,Why Why Why,iKON,YG,2021-03-03,0.749,0.634,0,-5.964,0,0.0595,0.172,0.0,0.109,0.274,123.997,206856,
6,6,3iF0ZyWG2lXVHKkKH30SRp,Ah Yeah,iKON,YG,2020-02-06,0.743,0.902,6,-3.294,0,0.106,0.122,0.0,0.0795,0.875,124.034,188367,
7,7,3O7yIZM96XVdTDDEMhfZpP,Dive,iKON,YG,2020-02-06,0.757,0.743,6,-5.649,0,0.0341,0.0164,0.0,0.0441,0.634,124.054,190968,
8,8,3kT7o4W71zGsHCPNugtwY4,All The World,iKON,YG,2020-02-06,0.778,0.75,0,-4.04,1,0.0484,0.0639,0.0,0.0988,0.958,123.026,200766,
9,9,2rN22VtpXTI1qcnrPVm3pO,Holding On,iKON,YG,2020-02-06,0.554,0.504,0,-5.122,1,0.0343,0.24,0.0,0.0617,0.603,183.856,182297,
10,10,4BFbn9GneqRPCSK2NLuiyq,Flower,iKON,YG,2020-02-06,0.671,0.645,7,-4.6,1,0.0279,0.449,0.0,0.236,0.393,115.003,259738,
11,11,1tSE6WK5ZavbqYQoiPoeu0,GOODBYE ROAD,iKON,YG,2018-10-01,0.579,0.852,4,-3.358,1,0.0527,0.0607,0.0,0.41,0.641,79.015,239104,
12,12,2RnKifnMGY9qWQxu1chxFa,DON'T LET ME KNOW,iKON,YG,2018-10-01,0.625,0.735,7,-4.358,1,0.0366,0.186,0.0,0.318,0.626,129.957,201291,
13,13,6SOvKpNmIqYT7ey67DwOIs,ADORE YOU,iKON,YG,2018-10-01,0.5,0.539,1,-4.431,0,0.0559,0.214,0.0,0.109,0.422,65.321,210575,
14,14,6xPJ6ErEUYZ8dWply3hytx,PERFECT,iKON,YG,2018-10-01,0.735,0.66,2,-4.107,1,0.057,0.585,0.0,0.0544,0.673,119.908,213129,
15,15,4IES5wg7AXBZbMEQJjMbbV,KILLING ME,iKON,YG,2018-08-02,0.762,0.672,9,-5.277,0,0.073,0.463,0.0,0.205,0.507,128.001,193734,
16,16,4iIqC30V66iyyAw4FlJKDU,FREEDOM,iKON,YG,2018-08-02,0.45,0.897,0,-2.737,1,0.0715,0.0207,0.0,0.347,0.793,173.044,201941,
17,17,24BXjO5MIQia81cTRpsh9R,ONLY YOU,iKON,YG,2018-08-02,0.818,0.782,8,-3.17,1,0.0482,0.221,0.0,0.169,0.881,114.981,212157,
18,18,1FRcSB4eHNSMNcPownrFz6,COCKTAIL,iKON,YG,2018-08-02,0.769,0.874,2,-3.675,1,0.042,0.0814,0.0,0.648,0.932,122.959,226156,
19,19,0ubdJqA9HGvSFQQacv1b6G,JUST FOR YOU,iKON,YG,2018-08-02,0.623,0.499,11,-5.43,1,0.0493,0.593,0.0,0.154,0.277,86.145,201207,
20,20,4FMhacfObjPJuLIyPBjc0K,Rubber Band,iKON,YG,2018-03-05,0.753,0.745,0,-5.082,1,0.0319,0.338,0.0,0.343,0.691,130.049,197214,
21,21,6kI4lAxy6yOEtnuROJvNuf,BLING BLING,iKON,YG,2017-05-22,0.781,0.94,2,-3.779,1,0.0669,0.069,0.0,0.0992,0.537,125.009,219225,
22,22,5Sq6SjuaTrlFsQxveUTw4R,B-DAY,iKON,YG,2017-05-22,0.716,0.83,6,-4.091,0,0.0562,0.027,0.0,0.476,0.695,129.97,214585,
23,23,3iDMMyOcmcApKJZa1rYpgI,#WYD,iKON,YG,2016-05-30,0.633,0.725,4,-5.122,1,0.0616,0.365,0.0,0.17,0.238,99.894,211144,
24,24,3d3ELsqKlQ7WA0a10Isu3l,LOVE SCENARIO,iKON,YG,2018-01-25,0.806,0.707,7,-4.623,1,0.0307,0.331,0.0,0.294,0.746,118.009,209648,
25,25,2l526adqDC9nZ9TL4dD80A,BEAUTIFUL,iKON,YG,2018-01-25,0.746,0.859,0,-4.397,0,0.0998,0.268,0.0,0.0812,0.702,110.022,196016,
26,26,1Qe3tsyo70PEZKAtjET4Id,ONE AND ONLY (B.I Solo),iKON,YG,2018-01-25,0.631,0.716,10,-5.527,0,0.301,0.0175,0.0,0.78,0.282,170.951,206933,
27,27,5l9yN1JROmX6QptM6n4R9C,JERK,iKON,YG,2018-01-25,0.591,0.728,7,-3.81,0,0.0696,0.233,0.0,0.113,0.745,173.893,223086,
28,28,1AhfmrzSrDmOIstpRO9wTI,BEST FRIEND,iKON,YG,2018-01-25,0.457,0.745,4,-4.014,1,0.0864,0.19,0.0,0.17,0.568,67.927,230149,
29,29,6aIjd7n2vFajtP2hYVsARt,EVERYTHING,iKON,YG,2018-01-25,0.674,0.775,0,-4.908,0,0.0329,0.0501,0.0,0.166,0.358,130.012,214739,
30,30,4lhcOa69hv4J74sGtPeglB,HUG ME,iKON,YG,2018-01-25,0.598,0.717,0,-5.445,0,0.212,0.149,0.0,0.112,0.556,171.767,216916,
31,31,0enqhUkjhENOS0x7z9JwgL,DON'T FORGET,iKON,YG,2018-01-25,0.659,0.517,3,-5.924,1,0.0757,0.344,0.0,0.0893,0.348,139.877,253563,
32,32,7sH4bGIhNwnWOCrh2Rp9ss,SINOSIJAK,iKON,YG,2018-01-25,0.673,0.78,7,-4.134,1,0.198,0.0521,0.0,0.0947,0.329,101.032,188060,
33,33,6OCwktCtDcutcJiD0XtDhQ,LOVE ME,iKON,YG,2018-01-25,0.691,0.984,2,-2.02,1,0.0444,0.0961,0.0,0.367,0.973,159.98,208808,
34,34,7m5Dx1L76Gxnb7osbw8Cdi,JUST GO,iKON,YG,2018-01-25,0.671,0.633,8,-4.527,1,0.0356,0.386,0.0,0.0541,0.666,77.145,216430,
35,35,55UNoOCjEO5EvDpmSJQN76,LONG TIME NO SEE,iKON,YG,2018-01-25,0.737,0.723,0,-5.038,1,0.108,0.289,0.0,0.128,0.531,94.982,206776,
36,36,6KZdpxLX8r1tGZ2Q7eKIvf,DUMB & DUMBER,iKON,YG,2015-12-24,0.731,0.874,5,-4.284,0,0.082,0.0962,0.0,0.0498,0.443,129.972,241701,
37,37,5j6DlZe93zQZbRI9KnGine,WHAT'S WRONG ?,iKON,YG,2015-12-24,0.72,0.797,0,-5.399,1,0.0562,0.0264,0.0,0.0949,0.767,127.994,228992,
38,38,3KNUQPxl7F4Lz10KL0vZOp,I MISS YOU SO BAD,iKON,YG,2015-12-24,0.765,0.839,8,-4.297,0,0.125,0.189,0.0,0.105,0.751,97.956,228369,
39,39,31rYX1S6eIwgc9HHejwO20,ANTHEM,iKON,YG,2015-12-24,0.724,0.789,8,-4.462,0,0.077,0.000769,0.0,0.328,0.548,94.997,205229,
40,40,1LWmicABfi13JjNkdfdT76,APOLOGY,iKON,YG,2015-12-24,0.524,0.773,6,-4.066,1,0.137,0.281,0.0,0.148,0.322,74.295,231567,
41,41,59ifgLYGgTOPgcpUzYbgdG,I'M OK,iKON,YG,2019-02-27,0.68,0.639,0,-4.246,1,0.0332,0.26,0.0,0.0923,0.385,89.959,217640,
42,42,0LdOtVh3Oxoe0GcVNwOlZm,WORLDWIDE,iKON,YG,2019-02-27,0.793,0.776,10,-4.447,0,0.0366,0.2,0.0,0.523,0.557,99.993,207093,
43,43,2qR0mMrgwO099ONpl2B0II,U MAD,BOBBY,YG,2021-01-25,0.704,0.84,11,-4.733,1,0.217,0.108,0.0,0.386,0.511,140.985,170280,
44,44,3aEDqRYIXcFsUrnNVY5Q5g,RocKstaR,BOBBY,YG,2021-01-25,0.605,0.928,2,-3.306,1,0.384,0.105,0.0,0.345,0.843,180.105,185997,
45,45,5Gk91Q0KYwC5pycyOn01sQ,NO TIME,BOBBY,YG,2021-01-25,0.727,0.93,7,-4.983,1,0.106,0.147,0.0,0.261,0.681,132.109,185461,
46,46,7GbgEA8BmDmwxGARrVs87q,BrEAk It DoWn,BOBBY,YG,2021-01-25,0.652,0.741,2,-4.688,1,0.112,0.0817,0.0,0.0952,0.811,159.976,190091,
47,47,6tIIRfmrgZnAaC1o7TvWxV,In THE DaRk,BOBBY,YG,2021-01-25,0.425,0.758,1,-5.062,1,0.0778,0.0854,0.0,0.121,0.459,177.494,224082,
48,48,6eQ74GNcsSwHsXp6kG0v4Y,LiLaC,BOBBY,YG,2021-01-25,0.541,0.744,2,-4.102,1,0.0357,0.0817,0.0,0.225,0.278,153.992,168782,
49,49,3rmTbr3faJXLkwr1MD2wTE,Ur SOUL Ur BodY (feat. DK),BOBBY,YG,2021-01-25,0.669,0.64,10,-6.351,1,0.0331,0.0176,0.0,0.0346,0.39,98.008,205077,
50,50,5hs5J3f6lH9v286otiDBeS,GOrGeOuS,BOBBY,YG,2021-01-25,0.715,0.752,11,-6.265,0,0.0714,0.229,0.0,0.231,0.758,119.988,201611,
51,51,1vOvHNRKQs8sriDTok0TC5,LiAr,BOBBY,YG,2021-01-25,0.639,0.768,7,-5.114,0,0.0704,0.0369,0.0,0.214,0.657,139.98,237959,
52,52,4zcoVOaN97y4WPUUAtDu0j,HeartBROKEN PlaYBoY,BOBBY,YG,2021-01-25,0.779,0.729,5,-5.356,1,0.0434,0.0807,0.0,0.109,0.497,109.974,216806,
53,53,5BmhJNAVzCVmQH4aiQCYqN,RaiNinG (feat. JU-NE),BOBBY,YG,2021-01-25,0.636,0.678,6,-5.691,1,0.0524,0.0302,0.0,0.156,0.513,135.985,216882,
54,54,4iXdQQtTXb6yUMbDv7950e,Let iT Go,BOBBY,YG,2021-01-25,0.453,0.89,10,-4.479,1,0.181,0.0739,0.0,0.291,0.774,187.92,234468,
55,55,3S4YpayAH2CV3iR5RPb7iX,DeViL,BOBBY,YG,2021-01-25,0.405,0.858,0,-4.323,1,0.315,0.0297,0.0,0.675,0.382,171.101,210095,
56,56,2psmCxz85mli4dgFnIZbQW,I LOVE YOU,BOBBY,YG,2017-09-14,0.763,0.83,2,-4.407,1,0.0975,0.0995,0.0,0.0708,0.592,111.988,210327,
57,57,3uZrLYuhuFbo872XiLdo1x,RUNAWAY,BOBBY,YG,2017-09-14,0.712,0.745,8,-4.977,1,0.0924,0.153,0.0,0.0557,0.432,92.981,223355,
58,58,10dHpqakxk3NHpHd2LIyqk,ALIEN,BOBBY,YG,2017-09-14,0.734,0.694,5,-6.813,0,0.0787,0.308,0.0,0.0972,0.805,139.949,193591,
59,59,3wdQ9ZioKOzHIs6hA0x88u,TENDAE,BOBBY,YG,2017-09-14,0.769,0.705,11,-5.1,1,0.0949,0.61,0.0,0.105,0.751,90.092,216095,
60,60,3pIpEhlipGhL3fN8FWCdoc,UP,BOBBY,YG,2017-09-14,0.793,0.758,8,-5.382,0,0.178,0.0749,0.0,0.339,0.329,140.003,250390,
61,61,6GR9G4BWKnbcqaUmjYrVXt,SECRET,BOBBY,YG,2017-09-14,0.446,0.614,7,-6.574,1,0.273,0.347,0.0,0.0929,0.658,86.853,216292,
62,62,3oDjBTEsEJuYQ5UegWr806,IN LOVE,BOBBY,YG,2017-09-14,0.526,0.365,2,-7.586,1,0.031,0.852,0.0,0.118,0.124,90.147,215680,
63,63,7nwiiJfm5gdbJfLPqY2xZw,SWIM,BOBBY,YG,2017-09-14,0.682,0.806,7,-5.359,1,0.123,0.196,0.0,0.21,0.539,138.15,240578,
64,64,6RxmoKcDLElJYIwOddEqV5,FIREWORK,BOBBY,YG,2017-09-14,0.61,0.74,6,-5.243,1,0.142,0.249,0.0,0.366,0.559,140.174,225748,
65,65,2hRWNOtQv7551TRsJPv6pd,LEAN ON ME,BOBBY,YG,2017-09-14,0.678,0.914,9,-4.182,1,0.262,0.071,0.0,0.0477,0.779,89.906,223366,
66,66,0dkqqQAizwp3MHJKehq5ng,HOLUP!,BOBBY,YG,2016-09-07,0.669,0.953,0,-2.43,1,0.0634,0.124,0.0,0.302,0.538,100.964,211875,
67,67,4BgG0m5owAxrXw6fEeTzWn,CLIMAX < TEAM B>,WIN,YG,2013-10-28,0.509,0.724,1,-5.684,1,0.185,0.176,0.0,0.116,0.305,84.046,191901,
68,68,79dg0MEBJEIDIZMjEjIFsZ,JUST ANOTHER BOY <TEAM B>,WIN,YG,2013-10-28,0.477,0.885,1,-3.043,1,0.061,0.0504,0.0,0.447,0.745,133.758,219220,
69,69,0bBrEmo01hYu6gBz4UW9Q8,Apology,iKON,YG,2015-11-16,0.524,0.773,6,-4.066,1,0.137,0.281,0.0,0.148,0.322,74.295,231567,
70,70,2TPHfPjwV7JJlXKVxGJprX,Anthem (B.I & BOBBY),iKON,YG,2015-11-16,0.724,0.789,8,-4.462,0,0.077,0.000769,0.0,0.328,0.548,94.997,205229,
71,71,5IR3lhOBnilcIGTdpnUomh,WELCOME BACK,iKON,YG,2015-11-16,0.797,0.68,4,-4.613,0,0.0849,0.238,0.0,0.246,0.887,95.018,213400,
72,72,5T7NN5LxcfMEudEbya2wcE,RHYTHM TA,iKON,YG,2015-11-16,0.764,0.828,7,-4.375,1,0.0967,0.104,0.0,0.332,0.583,81.989,226970,
